LABELS,NEWS
NEUTRAL,ڈینگی: سی بی سی ٹیسٹ فیس 100 روپے مقرر
NEGATIVE,کرونا وائرس سے مزید 2 مریض جاں بحق
NEGATIVE,کیا آپ اس شے کو کچن میں رکھنے کے نقصانات سے آگاہ ہیں؟
NEGATIVE,افریقہ میں رنگ گورا کرنے والی کریموں سے اسکن کینسر پھیلنے لگا
NEGATIVE,کورونا نے مزید 3 انسانی جانیں نگل لیں
NEGATIVE,’پاکستان میں ذیابطیس نے تباہی پھیلا دی‘
POSITIVE,"یہ سبزیاں کھائیں، سرطان کو بھگائیں"
NEGATIVE,روسی چمگادڑوں میں پائے جانے والے کرونا جیسے نئے وائرس پر ویکسینز غیر مؤثر
NEGATIVE,لیاری جنرل اسپتال بی ایس نرسنگ کے طلبہ نے خود سوزی کا اعلان کر دیا
NEUTRAL,نیشنل ٹاسک فورس کو ملکی میڈیسن مارکیٹس کی نگرانی سخت کرنے کی ہدایت
NEGATIVE,کورونا کا شکار ایک اور مریض چل بسا
POSITIVE,کیا آپ اخروٹ کے ان جادوئی فوائد سے آگاہ ہیں؟
NEGATIVE,"بھارت میں بنے لالی پاپ مضر صحت، عوام استعمال نہ کریں، حکام کا انتباہ"
NEGATIVE,وائرس چالاکی سے ہمارے جسم میں حملہ کرتے ہیں
NEUTRAL,"کرونا وائرس کیسز کا گراف نیچے آ گیا، 3 دنوں میں 141 کیسز"
NEUTRAL,’شہریوں کو پیناڈول کی بجائے پیراسٹامول طلب کرنی چاہیے‘
NEUTRAL,خراٹے لینے والے ہوشیار!
NEUTRAL,ڈینگی میں پپیتے کے پتے کا عرق استعمال کرنے والے ہوشیار: اہم خبر آگئی
NEUTRAL,بڑھتی عمر میں خراب یادداشت کے مسئلے سے کیسے بچا جاسکتا ہے؟
NEUTRAL,کرونا وائرس سے مرنے والے 20 سال سے کم عمر کے افراد سے متعلق نیا انکشاف
NEGATIVE,کرونا وائرس کے مزید 90 کیسز کی تصدیق
NEUTRAL,صبح کے وقت دل کا دورہ پڑنے کا امکان زیادہ کیوں ہوتا ہے؟
NEUTRAL,کھانے کے الرجی آپ کو اس موذی مرض سے تحفظ فراہم کرسکتی ہے؟ جانئے
POSITIVE,پاکستان میں بچوں کو کورونا ویکسین لگانے کا آغاز پیر سے ہوگا۔
NEGATIVE,ٹھنڈا پانی پینے سے یہ خطرناک بیماریاں‌لاحق ہوسکتی ہیں
NEGATIVE,نوزائیدہ بچوں‌ کو اینٹی بایوٹک دینے کا پریشان کن نقصان سامنے آ گیا
NEGATIVE,اتائی میاں بیوی کا جعلی اسپتال پکڑا گیا
POSITIVE,کرونا کی وبا کا خاتمہ قریب آ گیا: سربراہ عالمی ادارہ صحت
NEUTRAL,مرد گنج پن سے کیسے بچ سکتے ہیں؟
NEGATIVE,کرونا وائرس کے مزید 98 کیسز کی تصدیق
NEGATIVE,"کراچی میں ڈینگی وائرس نے وبائی صورت اختیار کر لی، اسپتال میں حبس سے مریض بے ہوش"
NEUTRAL,پیراسٹامول دوا کی قیمت سے متعلق حکومت کا بڑا فیصلہ
NEGATIVE,"بلوچستان میں ملیریا بے قابو، مزید 3 کمسن بچے لقمہ اجل بن گئے"
NEGATIVE,"ڈریپ کراچی کا فیکٹری پر چھاپہ، غیرمعیاری ادویات برآمد"
NEUTRAL,بھوک میں سر درد ہونے کی وجہ کیا ہے؟
NEUTRAL,جاپان اومیکرون سے نمٹنے کے لئے کیا کرنے جارہا ہے؟
NEGATIVE,موسلا دھار بارشوں کے دوران نہانے کا خطرناک نقصان
NEGATIVE,گرم چائے یا کافی کتنی نقصان دہ ہے؟ محققین کا بڑا انکشاف
NEUTRAL,ہاف فرائی انڈے کھانے والے ہوشیار
NEUTRAL,"ڈینگی اور ملیریا سے خود بھی بچیں، دوسروں کو بھی بچائیں لیکن کیسے؟"
NEGATIVE,"موڈرنا، فائزر اور بائیو این ٹیک کے درمیان قانونی جنگ شروع ہوگئی"
NEGATIVE,نیند پوری کریں ورنہ آپ خود غرض بن سکتے ہیں
POSITIVE,گلے کے درد کا علاج آپ کے گھر کے کچن میں موجود
NEUTRAL,"کرونا وائرس: 6 مریضوں کا انتقال، کیسز میں کمی"
NEUTRAL,نایاب ترین کیس: خاتون کی ناک میں 150 سے زائد لاروں کی پیدائش
POSITIVE,"چند منٹوں میں ڈپریشن دور کرنیوالا جیل تیار، پاکستانی طالبعلم کا کارنامہ"
NEGATIVE,کرونا وائرس سے مزید 4 مریض جاں بحق
NEGATIVE,فالج کا خطرہ کس عمر میں دگنا ہوجاتا ہے؟
NEGATIVE,"کرونا کیسز میں ایک بار پھر کمی، 24 گھنٹوں میں 2 مریضوں کا انتقال"
POSITIVE,سعدیہ امام نے گنج پن دور کرنے کا آسان نسخہ بتادیا
POSITIVE,کینسر کے لاعلاج مریضوں کے لیے نئی دوا آگئی
NEGATIVE,"کرونا وائرس سے مزید 2 مریض جاں بحق، 217 نئے کیسز"
POSITIVE,صرف ایک ماہ میں وزن کم کرنے کا آسان طریقہ
NEUTRAL,خوبصورت جلد کے لیے کیا اسکن کیئر روٹین ہونی چاہیئے؟
NEGATIVE,کرونا وائرس سے 3 مریض انتقال کر گئے
NEGATIVE,منکی پاکس سے متاثرہ شخص کی ناک گلنا شروع ہوگئی
NEGATIVE,"کرونا وائرس: 2 مریضوں کا انتقال، 468 نئے کیسز"
NEGATIVE,نان اسٹک برتنوں کا استعمال صحت کیلیے انتہائی خطرناک
NEUTRAL,"نظر کی کمزوری کا علاج ’’جدید چشمہ‘‘ ، قیمت دن میں تارے دکھا دیگی"
NEUTRAL,کورونا سے صحتیاب افراد سے متعلق اہم انکشاف
NEUTRAL,صحت مند جسمانی وزن کیسے برقرار رکھیں؟
NEGATIVE,"شدید گرمی میں ٹھنڈا پانی پینا، سخت خطرہ لاحق ہوسکتا ہے"
NEGATIVE,کرونا انفیکشن سے 4 مریضوں کا انتقال
POSITIVE,"یہ عادات اپنائیں، اور پلاسٹک آلودگی سے چھٹکارا پائیں"
NEGATIVE,کرونا وائرس سے 2 مریض جاں بحق
NEGATIVE,کراچی میں‌ ٹوٹی پھوٹی سڑکیں‌ ریڑھ کی ہڈی کو نقصان پہنچانے کا سبب بن گئیں
POSITIVE,بلڈ پریشر قابو میں رکھنا ہے تو کافی پئیں
POSITIVE,نہانے کے پانی میں یہ معمولی چیز شامل کرنا بے شمار فائدوں کا سبب
POSITIVE,نہانے کے پانی میں یہ معمولی چیز شامل کرنا بے شمار فائدوں کا سبب
POSITIVE,وہ پھل جو وزن گھٹانے میں بے حد مددگار ہے
NEGATIVE,کرونا وائرس سے 5 مریض جاں بحق
NEUTRAL,ذیابیطس کے مریضوں کے لیے چاول کھانا نقصان دہ؟
NEGATIVE,کلائمٹ چینج سے کینسر میں اضافے کا خدشہ
NEGATIVE,کرونا وائرس سے 8 مریض جاں بحق
NEGATIVE,فضائی آلودگی: بھارت نے بدترین ریکارڈ اپنے نام کرلیا
NEGATIVE,"کرونا وائرس سے مزید 2 مریض جاں بحق، 459 نئے کیسز رپورٹ"
NEGATIVE,جرمنی: ڈرائیورز کے لیے بھنگ کے استعمال کی حد بڑھانے کا مطالبہ
NEUTRAL,جسم میں سوزش پیدا کرنے والی اہم وجہ سامنے آگئی
NEGATIVE,کرونا وائرس سے ملک میں‌ مزید 4 افراد جاں‌ بحق
NEGATIVE,منشیات کے عادی نوجوانوں میں ہیپاٹائٹس کے مرض میں ہولناک اضافہ
POSITIVE,"کھانے کے بعد صرف دو منٹ چہل قدمی، جان لیوا امراض سے تحفظ پائیں"
NEGATIVE,مشہور بے بی پاؤڈر کی فروخت بند کرنے کا اعلان
NEUTRAL,’سی پی آر‘ دیتے وقت جسم میں کیا ہوتا ہے؟ ویڈیو دیکھیں
NEGATIVE,کرونا وائرس سے چوبیس گھنٹوں میں 11 افراد کا انتقال
POSITIVE,میتھی دانے کے حیرت انگیز فوائد
NEUTRAL,بچوں کی عمر کے مطابق کھیلوں کا انتخاب کیسے کیا جائے؟
NEUTRAL,"ڈپریشن کی وجوہات اور اس کا علاج، ماہرین صحت کی نئی تحقیق"
POSITIVE,پُرفضا مقام پر سیر و تفریح کے بے شمار طبی فائدے
NEUTRAL,پنجاب میں کیمیکل کے استعمال کے بغیر سبزیاں کیسے اگائی جارہی ہیں؟
NEUTRAL,لیبارٹری میں تیار کردہ گوشت کیا صحت کے لیے مفید ہوتا ہے؟
POSITIVE,"بلڈ پریشر کنٹرول میں رکھنے کیلئے انتہائی کار آمد نسخہ، جدید تحقیق"
NEGATIVE,ملک بھر میں کرونا کے 644 نئے کیسز رپورٹ
NEGATIVE,پولیو وائرس پھر امریکا پہنچ گیا
NEUTRAL,فضائی سفر کے دوران کانوں میں درد سے کیسے بچا جاسکتا ہے؟
NEUTRAL,جگر کے مرض کا خطرہ کس صورت میں بڑھ جاتا ہے؟
NEUTRAL,منکی پاکس وائرس: بچاؤ کے لیے کیا کرنا ضروری ہے؟
POSITIVE,ڈپریشن کے مریضوں کیلئے آسان اور آزمودہ نسخہ
NEGATIVE,"کرونا کے مزید 2 مریض جاں بحق، 582 کیسز رپورٹ"
POSITIVE,"پاک امریکا ہیلتھ ڈائیلاگ، پاکستانی وفد واشنگٹن پہنچ گیا"
NEGATIVE,چوبیس گھنٹو‌ں‌ میں‌ کرونا کے مزید 3 مریض جاں‌ بحق
NEGATIVE,امریکا میں 10 سال بعد پولیو کا پہلا کیس
NEGATIVE,کرونا کے مزید 3 مریض انتقال کر گئے
NEGATIVE,کورونا انفیکشن کے بعد جوڑوں اور پٹھوں کے درد میں اضافہ
NEUTRAL,مردوں کی عمر کم کیوں ہوتی ہے؟ تحقیق میں‌ وجہ سامنے آگئی
NEUTRAL,کرونا کی سب سے عام علامت تبدیل ہو گئی
NEUTRAL,پرسکون نیند کے لیے ایلون مسک کا مشورہ کتنا کارآمد ہے؟
NEGATIVE,"عید کی تعطیلات میں گیسٹرو اور ڈائریا میں اضافہ، اسپتال مریضوں سے بھر گئے"
NEGATIVE,امریکا اور بھارت میں کرونا وائرس کی نئی قسم سامنے آگئی
NEGATIVE,بقر عید: معدے و ڈائریا کے 10 ہزار مریض اسپتال پہنچ گئے
NEGATIVE,کورونا ویکسین کی 1کروڑ36 لاکھ خوراکیں کیوں ضائع ہوں گی؟
NEUTRAL,گائے کے گوشت اور خون میں کس چیز کے ذرات پائے گئے؟
NEGATIVE,برقی سگریٹ کا وہ نقصان جسے پڑھ کر آپ کے رونگٹھے کھڑے ہوجائیں گے
NEGATIVE,"’بھوک غصے، مایوسی اور چڑچڑاہٹ کا باعث بنتی ہے، تحقیق"
NEGATIVE,"کورونا، عالمی ادارہ صحت نے خطرے کی گھنٹی بجا دی"
POSITIVE,"امریکا نے کورونا کی دوا ""پیکسلووڈ” کے استعمال کی منظوری دے دی"
POSITIVE,چقندر کے جوس کے روزانہ استعمال کا حیران کن فائدہ
NEUTRAL,بارشوں کے موسم میں جلد کی حفاظت کیسے کریں؟
NEGATIVE,"کرونا کا پھیلاؤ تیز، مثبت شرح 4 فیصد سے زائد"
NEGATIVE,آم کھانا کن افراد کے لیے نقصان دہ؟
NEGATIVE,بانجھ پن اور حمل کی پیچیدگیوں کا شکار خواتین کے لیے ایک اور خطرہ
NEGATIVE,نوجوانوں میں خودکشی کی ایک بڑی وجہ نظروں سے اوجھل
NEGATIVE,"اسلام آباد ڈینگی کا وار، ایک شخص جاں بحق"
POSITIVE,"کافی کے تین کپ اور صحت مند زندگی، لیکن کیسے؟"
NEUTRAL,شدید ذہنی دباؤ کے وقت کیا ہوتا ہے؟
NEUTRAL,پاکستان میں‌ کرونا وبا کے حوالے سے ڈبلیو ایچ او کی رپورٹ
NEUTRAL,منکی پاکس کیخلاف ویکسینیشن: عالمی ادارہ صحت کا اہم بیان
NEGATIVE,جسم پر ذہنی دباؤ کے کیا کیا اثرات پڑتے ہیں؟
POSITIVE,"مستقبل قریب میں ""ٹوٹے دل” کا علاج ممکن؟ محققین سرگرم"
NEUTRAL,اہل خانہ کی بھرپور صحت کیلئے اچھی غذا کا استعمال کیسے کریں؟
NEGATIVE,پالتو بلی سے کرونا وائرس منتقلی کا پہلا کیس رپورٹ
NEUTRAL,رنگ گورا کرنے کی کریم گھر میں بنائیں
POSITIVE,12 سال سے زائد عمر کے افراد بوسٹر ڈوز کیلیے اہل قرار
NEGATIVE,"کورونا وائرس ایک بار پھر آگیا، ڈبلیو ایچ او کا انتباہ"
NEGATIVE,"1 فی صد سیلز ٹیکس پر حکومت اور فارما انڈسٹری میں ڈیڈ لاک، ادویات کے بحران کا خدشہ"
POSITIVE,سندھ کے بڑے اسپتالوں میں کرونا وارڈز مکمل فعال رکھنے کی ہدایت جاری
NEUTRAL,دھوپ میں جھلس جانے والی جلد کی تکلیف کیسے کم ہوگی؟
NEUTRAL,لوکی میں جان لیوا زہر بھی ہوتا ہے؟
NEGATIVE,دنیا میں تیزی سے پھیلتی بیماری جس نے ماہرین کو پریشان کردیا
POSITIVE,انسداد پولیو مہم کا آغاز: ’لاچاری اور معذوری ہماری قوم کا مستقبل نہیں‘
NEUTRAL,دوران سفر طبیعت خرابی سے کیسے بچا جائے؟
NEGATIVE,لاہور میں کرونا وائرس کے بعد ڈینگی کا خطرہ
NEGATIVE,"کرونا سے مزید 2 مریضوں کا انتقال، 94 کی حالت تشویش ناک"
NEUTRAL,چہرے پر دہی لگانے سے پہلے یہ لازمی پڑھ لیں
POSITIVE,چاول کی بھوسی کا تیل بے شمار فائدوں کا باعث
NEGATIVE,پلاسٹک کے کنگھے بالوں کے لیے سخت نقصان دہ
NEGATIVE,بٹوے کو پینٹ کی پچھلی جیب میں‌ رکھنے کا بڑا نقصان
POSITIVE,امریکا میں شیر خوار بچوں کی کرونا ویکسی نیشن کا آغاز
NEGATIVE,کرونا وائرس: ملک میں 66 مریضوں کی حالت تشویش ناک
NEGATIVE,"کانگو وائرس کے پھیلاؤ نے سنسنی پھیلا دی، ہدایت نامہ جاری"
NEUTRAL,غصے پر کیسے قابو پایا جائے؟
POSITIVE,امریکا سے آکر خاتون نے سندھ کے اسپتال سے آپریشن کروالیا
NEUTRAL,وزارت قومی صحت میں بڑے عہدوں پر تبادلے
NEGATIVE,"کورونا کا خطرہ ٹلا نہیں، ملک میں نئے ویریئنٹ کی تصدیق"
NEGATIVE,"نوجوانوں میں بڑھتی بیماری، عالمی ادارہ صحت نے خبردار کردیا"
POSITIVE,اب وزن کم کرنا نہایت آسان !! جانیے کیسے ؟
POSITIVE,کینسر کی نئی ویکسین کے حوالے سے مثبت پیش رفت
POSITIVE,جان بچانے والی سی پی آر ٹریننگ نصاب میں شامل کرنے کا فیصلہ
NEUTRAL,لمبی عمر پانا ہے تو خواتین یہ عادت اپنائیں
POSITIVE,پاکستانی ڈاکٹروں کو جدید تربیت کیلیے بیرون ملک بھیجنے کا فیصلہ
NEUTRAL," ایم کیو ایم منی لانڈرنگ کیس، وفاقی وزیر فروغ نسیم اور خالد مقبول صدیقی ایف آئی  "
NEUTRAL, ”چیف جسٹس نے صلاحیت اور اہلیت کے ریمارکس حکومت کیلئے نہیں دئیے بلکہ۔۔۔“ سپریم  
NEUTRAL," پی ٹی آئی کے اہم ترین وزیر نے ’اقامہ‘ رکھنے کا اعتراف کر لیا، یہ کون ہیں اور  "
NEUTRAL," اسحاق ڈارکیخلاف آمدن سے زائداثاثہ جات ریفرنس کی سماعت 22 نومبر تک ملتوی،مزید 2  "
NEUTRAL,موٹاپا کیوں ہوتا ہے اور اس سے کیسے بچ سکتے ہیں؟
NEUTRAL,رات کو 10سے 11کے درمیان سونا کیسا؟ جان کر حیران رہ جائیں گے
NEUTRAL,بوسٹرڈوز سے متعلق کمپنی کا بڑا دعویٰ
NEGATIVE,کورونا ویکسی نیشن : ڈبلیو ایچ او نے دنیا کو بڑے خدشے سے آگاہ کردیا
NEGATIVE,کورونا وبا: ایک اور خطرناک اثر کا انکشاف
NEUTRAL,"کیا ""کزن میرج” مستقبل کی اولاد کیلئے خطرناک ہے؟"
NEUTRAL,کرونا کے طویل المعیاد اثرات کا خطرہ کن افراد میں زیادہ ہوتا ہے؟ جانئے
NEUTRAL,کووڈ سے تحفظ کے لیے ویکسینیشن کتنی موثر؟ نیا ڈیٹا منظر عام پر
POSITIVE,کورونا وائرس : سراغ لگانے والوں کیلئے ہزاروں ڈالر انعام کا اعلان
NEGATIVE,‘پیناڈول’ گولیوں کی قلت
POSITIVE,گلے کی خرابی سے نجات پانا بہت آسان
NEUTRAL,معمر افراد کووڈ 19 کے زیادہ خطرے کا شکار کیوں ہوتے ہیں؟
NEUTRAL,6 ماہ کے بچوں کے لیے کون سی کووڈ ویکسین محفوظ ہے؟
POSITIVE,"شوگر میں مبتلا افراد کیلئے خوشخبری، ویڈیو دیکھیں"
NEUTRAL,کرونا وائرس کی نئی اقسام زیادہ متعدی کیوں ہیں؟
NEUTRAL,چائنا کی کورونا ویکسین بچوں کیلئے کتنی مفید ہے؟ کمپنی کا بڑا دعویٰ
NEGATIVE,وٹامن ڈی !! ماہرین صحت نے خوفناک نتیجے سے خبردار کردیا
NEUTRAL,کورونا وائرس کے پھیلنے کا کیا سبب ہے؟ ماہرین نے راز جان لیا
NEGATIVE,ذیابیطس اور تمباکو نوشی سے پاکستان میں سالانہ 5 لاکھ 66 ہزار اموات کا انکشاف
POSITIVE,مچھلی کا تیل استعمال کرنے کے وہ فوائد جن سے آپ بے خبر تھے
POSITIVE,سوئی سے خوفزدہ افراد کے لیے منفرد روبوٹ تیار
NEUTRAL,"کیا ڈپریشن سے بچاؤ کی دوا، کرونا کا خطرہ کم کرسکتی ہے؟ جانئے حقائق"
POSITIVE,باقاعدگی سے مچھلی کھانے کا حیران کن فائدہ
POSITIVE,کرونا وائرس سے موت کا خطرہ بڑھانے والا جین دریافت
NEUTRAL,کورونا وائرس : فائزر کمپنی کا اپنی دوا سے متعلق بڑا دعویٰ
NEGATIVE,گردے کی بیماری کیوں بڑھنے لگیں؟  تہلکہ خیز رپورٹ منظر عام پر
NEGATIVE,"یورپ میں کورونا ویکسین وائرس پر قابو نہ پاسکی، عالمی ادارہ صحت"
POSITIVE,"کوویڈ19 سے جڑا راز کھل گیا ، ماہرین کو بڑی کامیابی مل گئی"
POSITIVE,ابو ظہبی کووڈ 19 کے مریضوں کو انفیکشن سے بچانے والی دوا خریدے گا
NEGATIVE,کووڈ ویکسین وائرس کی نئی قسم کے خلاف کم مؤثر
POSITIVE,"کویت کرونا کو شکست دینے میں‌ کامیاب، آخری مریض بھی صحت یاب"
NEGATIVE,"سندھ میں کرونا ویکسین کی 76 ہزار سے زائد خوارکیں ضائع، آسٹرازینیکا اور فائزر بھی شامل"
POSITIVE,کورونا علاج کیلیے نئی دوا منظور
NEUTRAL,کرونا وائرس انسانی دماغ کو متاثر کرتا ہے یا نہیں؟ نئی تحقیق میں بڑا دعویٰ
POSITIVE,روس کی سنگل ڈوز ویکسین کی بڑی افادیت منظر عام پر
NEGATIVE,وہ عام عادتیں جو آپ کے دل کیلئے نقصان کا باعث ہیں
POSITIVE,کرونا وبا کے خلاف ایک اور بڑی کامیابی مل گئی
NEUTRAL,تازہ اور بہترین اور مچھلی کیسے خریدنی ہے؟ یہ باتیں یاد رکھیں
POSITIVE,"پاکستان کے بڑے اسپتال میں ""فالج کا مفت علاج” شروع"
POSITIVE,بچوں کے پیٹ میں کیڑے اور اس کا علاج
NEUTRAL,کووڈ 19 سے بچانے والی اینٹی باڈیز کب تک برقرار رہتی ہیں؟
NEGATIVE,لاہور میں 8 ماہ کا بچہ ڈینگی وائرس سے جاں بحق
POSITIVE,بھارتی شراکت سے تیار کووڈ ویکسین کے ایک ملک میں استعمال کی منظوری
NEUTRAL,والدین خبردار : بچوں کو خطرناک بیماریوں سے کیسے بچایا جائے؟
POSITIVE,انڈونیشیا میں 6 سے 11 سالہ بچوں میں سائنوویک کے استعمال کی منظوری
POSITIVE,امارات میں بچوں کے لیے فائزر ویکسین منظور
POSITIVE,ایک اور ملک میں‌ 5 سالہ بچوں کے لیے سائنوویک ویکسین کی منظوری
NEGATIVE,ہوشیار! یہ عادت کم عمری میں ہی گنج پن کا شکار بنا سکتی ہے
NEGATIVE,نیند کی کمی کا ایک اور نقصان سامنے آگیا
NEGATIVE,اسلام آباد : ڈینگی مریضوں میں اضافہ جاری : ایک اور مریض چل بسا
NEUTRAL,دھوپ سے بچنے کیلئے چشموں کا استعمال کیسا؟ ماہرین کا انتباہ
POSITIVE,گھٹنے کا درد دور کرنے کا آسان طریقہ
POSITIVE,"اس ٹکیہ کے بعد سرنج کی ضرورت نہیں، انجکشن سے خوفزدہ افراد کے لیے اچھی خبر"
POSITIVE,امریکی ادارے نے 5 سے 11 سالہ بچوں کے لیے فائزر ویکسین کی منظوری دے دی
POSITIVE,سندھ: جگر کے 50 ٹرانسپلانٹ مفت کرنے کا اعلان
POSITIVE,"پاکستان کے چار علاقے ویکسین شدہ قرار، معمولاتِ زندگی بحال کرنے کا اعلان"
NEGATIVE,کرونا ویکسین کی افادیت کچھ ماہ میں کم ہوجاتی ہے
NEGATIVE,جسم کے ایک اور حصے کا کرونا وائرس سے متاثر ہونے کا انکشاف
NEUTRAL,سردیوں میں کتنا پانی پینا صحت کے لیے فائدہ مند ہے؟
NEUTRAL,سونے سے پہلے گانے سننے والے خبردار
NEGATIVE,کینسر ویکسین کے ٹرائلز شروع
POSITIVE,اونٹنی کے دودھ کا حیران کن فائدہ سامنے آگیا
POSITIVE,فالج سے بچاؤ کا دن: ایک معمولی عادت اس جان لیوا مرض سے بچا سکتی ہے
POSITIVE,"آپ اپنی ذہنی صلاحیت کیسے بڑھا سکتے ہیں، جانیے نہایت آسان طریقہ"
POSITIVE,بریسٹ کینسر ویکسین کے پہلے ٹرائل کا اعلان
POSITIVE,ایک عام دوا کووڈ 19 کے خلاف مددگار
NEUTRAL,کیا مکمل ویکسی نیشن کرانے والے بھی کرونا کے پھیلاؤ کا سبب بن سکتے ہیں؟
POSITIVE,بچوں‌ کو گود میں لے کر بائیں‌ طرف رکھنے کے حیران کن فوائد
NEUTRAL,ذہنی مریضوں کی صحت کا خیال رکھنے والے افراد ہوشیار رہیں
NEUTRAL,5 سے 11 سال کے بچوں کے لیے کس ویکسین کی حمایت کی گئی؟
NEUTRAL,کراچی کے اسپتال کے چلڈرن وارڈ میں کتابوں کی ریل گاڑی
NEGATIVE,پوری دنیا میں کورونا مریضوں کی تعداد 24کروڑ سے تجاوز کرگئی
POSITIVE,ڈھلتی عمر کے ساتھ دماغ کو تیز رکھنے کا آسان نسخہ
NEUTRAL,لانگ کووڈ سے متعلق ایک اور انکشاف
POSITIVE,ایک اور ویکسین بچوں کے لئے محفوظ اور مؤثر قرار
POSITIVE,ایسا پھل جو وٹامن سی کی نصف ضرورت کو پورا کرتا ہے
NEUTRAL,کورونا وائرس کی نئی قسم کے حوالے سے ماہرین کا انتباہ!
NEGATIVE,کووڈ 19 سے متاثرہ بچوں کو ایک اور نقصان کا سامنا
NEGATIVE,کووڈ 19 سے صحت یاب ہونے والے افراد کو مختف ذہنی مسائل کا سامنا
NEUTRAL,فائزر کی بوسٹر ڈوز کتنی مؤثر ہے؟ طبی آزمائش کے نتائج جاری
NEUTRAL,"جھلستے ہاتھ، لڑکھڑاتی سانسیں: کنری کی مرچ منڈی کے محنت کشوں کا احوال"
NEUTRAL,"ورزش کیلئے ""پش اپس” کیسے لگانے چاہیئں؟"
NEUTRAL,ہکلاہٹ کا مرض: وجوہات اور علاج کیا ہے؟
NEUTRAL,کیا خون میں دماغی بیماریوں کی علامات موجود ہوتی ہیں؟ جانئے اہم حقائق
NEUTRAL,ہڈیوں اور جوڑوں کی مظبوطی کیلیے بہترغذائیں کون سی ہیں؟
NEGATIVE,برطانیہ میں کرونا کی قسم ’ڈیلٹا پلس‘ کے کیسز میں اضافہ
NEGATIVE,بچوں کیلئے ‘پیراسٹامول’ دوا سے متعلق خطرناک انکشاف
POSITIVE,پانچ سے گیارہ سال کے بچوں کو کرونا سے محفوظ رکھنے کے لیے بڑا فیصلہ
NEGATIVE,"برطانیہ میں‌ کرونا کی مہلک قسم زور پکڑنے لگی، 24 گھنٹوں‌ میں‌ 44 ہزار کیسز رپورٹ"
POSITIVE,"جانور کے اعضا کو انسانی جسم نے قبول کرلیا، کامیاب تجربہ"
POSITIVE,"نئی کرونا ویکسین کی افادیت ‘ایسٹرازینیکا’ جتنی مؤثر، نام جانئے"
NEUTRAL,"کرونا سے بچاؤ کی گولی، قیمتوں سے متعلق اعلان"
NEGATIVE,ماہرین کی کرونا کی ڈیلٹا اور ڈیلٹا پلس اقسام سے متعلق خوفناک دریافت
POSITIVE,وٹامنز سے بھرپور خربوزے کے حیران کن فوائد
NEUTRAL,جسم میں خون کے لوتھڑے بننے کی کیا علامات ہیں؟ جانیے!
NEGATIVE,"پنجاب میں ڈینگی سے اموات کی تعداد21ہوگئی،"
NEUTRAL,پراسیس شدہ غذا دماغ خطرناک قرار؟ محققین نے خبردار کردیا
POSITIVE,چین نے موسمی زکام کی ویکسینیشن شروع کر دی
POSITIVE,کرونا وائرس ویکسین دوسرے ملتے جلتے وائرسز سے تحفظ میں بھی معاون
NEGATIVE,نمک کی زیادتی سے ہونے والے نقصانات
POSITIVE,سرد موسم میں گرتے بالوں کا مؤثر علاج
NEUTRAL,کیا آپ بھی کانٹیکٹ لینسز استعمال کرتے ہیں؟ ان باتوں کا خیال رکھیں
POSITIVE,مغربی ممالک سے دل کے امراض پاکستان تیزی سے منتقل ہونے کی اہم وجہ سامنے آگئی
NEUTRAL,منہ کا سوکھنا معمولی بات نہیں بلکہ یہ کس بیماری کی علامت ہے؟ جانیے
POSITIVE,پرسکون اور مناسب نیند حاصل کرنے کا طریقہ
POSITIVE,ایک اور دوا کووڈ 19 کے خلاف مددگار
NEUTRAL,شیر خوار بچہ پلنگ یا جھولے سے گر جائے تو کیا کریں؟
POSITIVE,امریکی ویکسینز کا ایک اور فائدہ سامنے آگیا
NEGATIVE,خواتین میں لانگ کووڈ کا خطرہ مردوں کے مقابلے میں زیادہ
POSITIVE,اب سخت جان جراثیم کا خاتمہ بھی ممکن! سائنس دانوں کو بڑی کامیابی مل گئی
POSITIVE,آنکھوں کی حفاظت کے چند آسان اور مؤثر طریقے
NEUTRAL,کیا بچے کووڈ 19 کے پھیلاؤ کا ذریعہ بن سکتے ہیں؟
POSITIVE,درست طریقے سے ہاتھ دھونا کووڈ 19 سمیت متعدد بیماریوں سے بچانے میں معاون
NEUTRAL,کورونا اور ٹی بی کا کیا تعلق؟ اموات سے متعلق ڈبلیو ایچ او کا اہم انکشاف
NEGATIVE,کروڑوں افراد بینائی چھن جانے کے خطرے کا شکار
POSITIVE,ہمالیہ میں پائی جانے والی ‘کیٹرپلر فنگس’ کینسر کے خلاف موثر
NEUTRAL,ڈینگی کی علامات کیا ہیں؟ احتیاطی تدابیر بھی جانیے
NEGATIVE,"پچاس فیصد مریضوں کو لانگ کوویڈ کی علامت کا سامنا، نئی تحقیق"
NEUTRAL,دو مختلف اقسام کی ویکسینز کا امتزاج کتنا مؤثر ہے؟
NEUTRAL,شوگر (ذیابیطس) کیا ہے؟  اس پر کیسے قابو پایا جائے؟
POSITIVE,"کرونا کےعلاج میں بڑی پیش رفت، مصنوعی اینٹی باڈیز تیار"
POSITIVE,سائنسدان موٹاپے کی ممکنہ وجہ جاننے میں کامیاب
POSITIVE,ڈبلیو ایچ او کا کرونا ویکسین کی تیسری ڈوز سے متعلق اہم مشورہ
NEUTRAL,"ذہنی و دماغی بیماریوں کا پھیلاؤ، کہیں آپ بھی تو اس کا شکار نہیں؟"
POSITIVE,کرونا ویکسین کی افادیت سے متعلق ایک اور انکشاف
