TITLE,ENGLISH NAAT,ENGLISH EXPLANATION
Oh green-domed ones,"O green-domed one, May the Manzar appear to you
Is the Sea of ​​Mercy, or Muhammad Noor Wale

All comers from you, I live at every distance
I am in thousands, I am in thousands

All comers from you, I live at every distance
I am in thousands, I am in thousands

O green-domed one, May the Manzar appear to you
Is the Sea of ​​Mercy, or Muhammad Noor Wale

Wherever it is mentioned, it is Muhammad (peace be upon him).
Every smile left a smile, this Muhammad Noor Wale

Wherever it is mentioned, it is Muhammad (peace be upon him).
Every smile left a smile, this Muhammad Noor Wale

The green-domed ones, the manzers are visible to you
Is the Sea of ​​Mercy, or Muhammad Noor Wale","These green-domed, manzers appeared to you. Here is the sea of ​​mercy, or Muhammad Noor Wali. All comers from you, I live at every distance. I am in my thousands, I am in my thousands. All comers from you, I live at every distance. I am in my thousands, I am in my thousands. O green-domed ones, manzers appeared to you. Here is the sea of ​​mercy, or Muhammad Noor Wali. Wherever it is mentioned, it is Muhammad (peace be upon him). Every smile left a smile, this Muhammad Noor Wale "
"O Messenger of Allah, the good of your loved ones","O Messenger of Allah, the good of your loved ones
May the people of the world get many wishes

People of all ages should pray, this is my peace
Homisha rahe taqiyat ho khada always

This is my peace, this is my peace
Homisha rahe taqiyat ho khada always

I am sitting on your doorstep
God be forever

Always in my prayers
God is forever

Seeking the truth
God be forever

I am the love of the saints
God be forever

You have gone to Medina
God be forever

I am in your discussion
God be forever

Stay home forever
Stay home forever
Stay home forever","This paragraph is in Urdu language and it talks about the love and relationship of the Messenger of Allah, may God bless him and grant him peace. It talks about expediency, prayer, and righteousness that keep a person connected to his Lord at every moment. This is a supplication that is always being asked to keep in touch and seek God's approval.

"
The river of your mercy is flowing everywhere.,"The river of Your mercy is flowing everywhere
Drowning in heavy shadows, the reward is running

No one wanders like me
My house is empty, no one is running here

Always stays here wanders here
Someone is leaving me too

Having forgotten your name, I am wandering
I am seeing your face lit up

May your face shine in the heavens
May your shadow always be on the earth

You should be in my prayers
You should be in my ways

The river of Your mercy is flowing everywhere
Drowning in heavy shadows, the reward is running","This verse is a meaningful and spiritual statement in which the stanzas highlight the infinite depths of Your mercies. Here, the river of mercy is common everywhere, and its effect is felt in the form of a reward shrouded in heavy shadows. The stanzas comment on the life and home conditions of an often wandering man, who is often alone and sees no one. A care always wanders here, but something is left that is still going. In the stanza, taking yourself as a stone, forgetting your name, wandering and your face being bright, brings a spiritual curiosity and a curiosity of transformation. You are sought in prayers, and you should be in paths "
Qaseida Burda Sharif,"Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).

Peace be upon him
Peace be upon him

Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).

Qasi Burda Sharif
Qasi Burda Sharif

Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).

Peace be upon him
Peace be upon him

Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).

My prayer is open
My prayer is open

Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).

Peace be upon him
Peace be upon him

Maula or Muhammad (peace be upon him).
Maula or Muhammad (peace be upon him).","This verse is an expression of spiritual love and literature, in which the love and literature of Allah and His beloved Muhammad, may Allah bless him and grant him peace, is spoken through the remembrance of Maula Yaa Muhammad. Here, it is a prayer that Allah Ta'ala always sends His blessings upon Muhammad (peace and blessings of Allah be upon him) and always be in His blessings. The verse mentions Qasi Burda Sharif, which is a special type of scholarly clothing worn by people engaged in religious matters. In this verse, we pray to always be in love with Muhammad (peace be upon him) with a pure heart and receive his blessings."
Meri Ulfat Madin is not the same.,"This is not how I extend my love from Madinah
So it is far away, how would you talk about it?

I do not escape the consciousness of your love
It's easy, I always pray this

So every color is mine, every smell is mine
I am your every breath and every bath

There is light in the paths of my heart
My ritual how your every step

I have left this from your lips in the night
I used to sing my song to myself

To hai tamasha mera, to hai mera dreami
I am yours every moment, I say this to you

It is official, it is yours
I am all yours, I say this to you","The para of love is a description of a spiritual state in which the poet describes his love as connected to the spiritual environment of Madinah. He is shown a way to express more love by increasing his affection. It is a loving state of being far away, the effect of which is felt in the poet's discourses and prayers. The verse describes the uniqueness of love and the poet's connection with your beautiful face in every moment"
Sweet sweet is the name of my Muhammad,"Sweet is the name of my Muhammad ﷺ
The name of Muhammad ﷺ is on my tongue

My heart is in my heart
May this prayer always be in the name of my Muhammad ﷺ

A sea of ​​shining light
A shining star resides in hearts

Sweet is the name of my Muhammad ﷺ
The name of Muhammad ﷺ is on my tongue

May the smoke of blessings be everywhere
Gulzar is full of smiles

No, nothing has been said, no one has left
I am left with dreams

Sweet is the name of my Muhammad ﷺ
The name of Muhammad ﷺ is on my tongue

In the sweet nights of come
Light up the burning hearts

My heart is the land of the Prophet ﷺ
I pray that I am always here

Sweet is the name of my Muhammad ﷺ
The name of Muhammad ﷺ is on my tongue","Thank you for the jewel of the name of Muhammad ﷺ. This poetic piece is with great love and literature of the blessed name of Muhammad ﷺ. In it, the sweetness of the name of Muhammad (pbuh) and its light are described with a special beauty. In poetry, the prayers that come from the depths of the heart and the smiles of the name of Muhammad ﷺ have been described. The mention of the sea of ​​light and the shining star in the verse highlights the abundance of blessings and joys of Muhammad ﷺ. The picture of Gulzar overlaid on it is also impressive, shining with the grace of Muhammad. Through this, the love and reverence for the name of Muhammad ﷺ is beautifully expressed"
Crown Prince,"Tajdar-e-Haram, take care
So go to Sajdah, we will

Not in our own color, we are colored
Lips are the tongue of the Lord, we will

Tajdar-e-Haram, take care
So go to Sajdah, we will

He is fond of every heart, earth and sky
Tajdar-e-Haram, take care
So go to Sajdah, we will

Should be government, should be government
I am in the age of the country, heart needs heart

Should be government, should be government
I am in the age of the country, heart needs heart

May I be enlightened by Tawfiq
May I be enlightened by Tawfiq

Tajdar-e-Haram, take care
So go to Sajdah, we will

Not in our own color, we are colored
Lips are the tongue of the Lord, we will

Tajdar-e-Haram, take care
So go to Sajdah, we will

My hidden air is on you, dear
O all care, let us bow down

My hidden air is on you, dear
O all care, let us bow down

Tajdar-e-Haram, take care
So go to Sajdah, we will

Not in our own color, we are colored
Lips are the tongue of the Lord, we will

Tajdar-e-Haram, take care
So go to Sajdah, we will","Ajdar-i-Haram, Ho Nga-i-Karam, then go to Sajdah, we will. This speech is an expression of the majesty and status of Muhammad ﷺ who went to the Tajdar of the Haram Sharif and is praying that the vision of his mercy will continue forever. In it, it is emphasized to be with each other, not in their colors, but being the language of Allah. It is a special prayer that Allah may paint us in His color and our lips become the tongue of Allah. It is expressed that hearts are deeply touched by the majesty and love of the Tajdar of Haram Sharif"
I went to Medina,"I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

This is friendship or Lord Big Laughs
I can do it if anyone wants

Say every scent, every rose
I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

Arman is in the heart of every bubble
Every spiritual night I burn a lamp

This is remembrance, this is security
I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I am the leader of Islam
I am a servant, a slave, a lamp

This is my prayer, this is Jabba's wealth
I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

This is friendship or Lord Big Laughs
I can do it if anyone wants

Say every scent, every rose
I went to Madinah, I went to Madinah
He turned and went to the city of Madinah

I went to Madinah, I went to Madinah
He turned and went to the city of Madinah","In the poem ""Mein Medina Chala"" the poet expresses his arrival to the presence of his beloved Prophet. They are encouraged to travel to Madinah Manoor and upon reaching here feel themselves in the auspicious gatherings and spiritual atmosphere. In the poem, the love of the Prophet and the love of Medina are described, which touch the heart of the poet. Through this poem, the poet has expressed the love and attention of the Prophet (peace be upon him) from the depths of his heart"
There is a journey to Madin,"There is a trip to Madinah, there is a trip to Madinah
It is a journey to Madinah that pleases the hearts a lot

Let's go, let's go to Medina
Color the flowers
Shine through the green grass
The streets of Medina

How can I say that you are the light on my face?
I am a dream of a physical smile
You are the shining star of my heart

Shine through the green grass
The streets of Medina

The talk of my soul
He is very dear to my heart
It always puts a smile on my lips
He touches every wound of mine

Shine through the green grass
The streets of Medina

It is very heartwarming
There is a trip to Medina
There is a trip to Medina

I don't have these defects
Ever since I was born, I am the glory of a prophet
I also walk
Medina is my walking direction

Let's go, let's go to Medina
Color the flowers
Shine through the green grass
The streets of Medina

How can I say that you are the light on my face?
I am a dream of a physical smile
You are the shining star of my heart

Shine through the green grass
The streets of Medina

The talk of my soul
He is very dear to my heart
It always puts a smile on my lips
He touches every wound of mine

Shine through the green grass
The streets of Medina

It is very heartwarming
There is a trip to Medina
There is a trip to Medina","It is a journey of giving"" is a beautiful naat that lists the beauty, beauty, and spiritual atmosphere of Madinah. This naat has the passion of the love of the Prophet and the sanctity of Madinah. Presented with simplicity and flight, the verse contains beautiful parables and allusions that invite the audience to enjoy the praises of Muhammad and the beautiful scenes of Madinah."
Or Tayyaba Naat,"Or Tayyaba Naat will always be there
Or Tayyaba Naat will always be there

Tayba Tayba Tayba Tayba
Tayba Tayba Tayba Tayba
This is the mother's glory
This is the mother's glory

Or Tayyaba Naat will always be there
Or Tayyaba Naat will always be there

The story is about Tayyaba
Full of children's hearts
This is the fame of the Messenger of Allah
Listen, everyone
Said such a thing
When the kids left
Thi Ghisa Peti

Tayba Tayba Tayba Tayba
Tayba Tayba Tayba Tayba
This is the mother's glory
This is the mother's glory

Or Tayyaba Naat will always be there
Or Tayyaba Naat will always be there

Your eyes
Has made us able to bear every pain
This is the light of Medina
It is our prayer
This is what we got
This is what we got China

Tayba Tayba Tayba Tayba
Tayba Tayba Tayba Tayba
This is the mother's glory
This is the mother's glory

Or Tayyaba Naat will always be there
Or Tayyaba Naat will always be there","""A Tayyaba Naat will always be"" This is a beautiful naat in which the goodness, glory and fame of Muhammad ﷺ are beautifully described. Through this naat, the glory and fame of the mother of Muhammad ﷺ is described in good words. And Naat-e-Khuan equated the goodness of Muhammad ﷺ through the words filled in the hearts of children. The subject has also been presented to the fans with serious love and grandeur"
Government streets,"I am the bubble of the government streets
Friends, be free from all pain
I am always full of laughter
I have always been happy

Wherever I go
Everyone says I am sitting in flowers
I am the bubble of the government streets
Friends, be free from all pain

There is this inflammation in every era
This story is in the flowers
In every breath is its being
May every dream always be in servers

Wherever I go
Everyone says I am sitting in flowers
I am the bubble of the government streets
Friends, be free from all pain

This is always our prayer
Always talk about love in others
I have a smile on my face, I have passion in my heart
A message of blessings to all

Wherever I go
Everyone says I am sitting in flowers
I am the bubble of the government streets
Friends, be free from all pain","In the poem, the poet describes himself as ""the bubble of government streets"" and ""friends free from every pain"". He has shown that he lives his life in an attractive and joyful manner. He has vowed to always smile and carry happiness. Wherever he goes, people call him Bubble sitting in flowers and think of him as Bubble of the streets of Sarkar. May his heart always be full of charm and talk of love to others. "
Go to Medina.,"He wants to go to Medina
My heart is sacrificed for your love

Things are slowly happening
When you leave and come, your friend is your friend

Day and night this prayer is always with you
This is the word of the Lord, my love

He wants to go to Medina
My heart is sacrificed for your love

It is my color in the moonlit nights
I am waiting for you

Love is a journey, every moment in my path
This is my purpose, this is my love

He wants to go to Madinah
My heart is sacrificed for your love

Let me see what a moonlit night it is because of your arrival
I have been waiting for love for nights

Always be in obedience, always be in prayers
Jab chale aye my companions, your friend is

He wants to go to Medina
My heart is sacrificed for your love"," In the poetic text, the poet refers to Madinah Sharif and talks about his sacrifice and love. He wants him to equate his life with pilgrimage to Madinah Sharif and offer his heart and sacrifices in the holy places of this holy city. The poet has talked about the depths of love, prayers and waiting for the beautiful scenes of Madinah Sharif in loving nights. Its yellow color, during moonlit nights, indicates the beauty of Madinah and its purpose is always to walk in the paths of Madinah Sharif."
Mustafa Jan Rehmat,"Millions of salutations to Mustafa
Millions of salutations on the candle of guidance

Thirteen fingers are starting to feel like when
Every breath of life has started to smell

The eyes will not be there
Insulting the Prophet (peace be upon him) will remain at every expense

Bright stars will shine in Medina
This prayer will be from the heart, this is my faith

Millions of salutations to Mustafa
Millions of salutations on the candle of guidance

Be the light of guidance O Muhammad
The star of my spiritual nights

Life is your light
How will it be Benazir?

Millions of salutations to Mustafa
Millions of salutations on the candle of guidance

May the fragrance of your talk be overshadowed
May your blessings be upon you every day

May Muhammad be the salve of every heart wound
This is the prayer of my heart

Millions of salutations to Mustafa
Millions of salutations on the candle of guidance","The love and greatness of Mustafa (peace be upon him) has been described through poetry. Here the poet has illustrated the intercession, mercy and guidance of Prophet Muhammad (peace be upon him) through similes in terms of various activities and life. Love and respect for Islamic beauty and Baha'is have been expressed in this poem. Reliance on the Anwar (Nurani) face of Muhammad (peace be upon him) and his intercession is expressed "
Naat Pak song on Lab,"Let the song of Naat-Pak be on your lips.
Have a heart, have a heart, have a heart, have a heart, have a heart.

Let the song of Naat-Pak be on your lips.

Mustafa we have arrived
Make us rose
We will come to Medina
Mustafa we have arrived
Make us rose
We will come to Medina

Millions of saliva on us
He will make a statement on us
The servant of all prophets
China of our hearts
Millions of saliva on us
He will make a statement on us
The servant of all prophets
China of our hearts

Have a heart, have a heart, have a heart, have a heart, have a heart.
Let the song of Naat-Pak be on your lips.

The world died on you
What will God say?
My heart goes out to you
What will God say?
The world died on you
What will God say?
My heart goes out to you
What will God say?

The story of flowers
Bhani to all lands
O mercy of God
The population of
The story of flowers
Bhani to all lands
O mercy of God
The population of

Have a heart, have a heart, have a heart, have a heart, have a heart.
Let the song of Naat-Pak be on your lips.

Go to Madinah
My Mustafa is here
This is the dream of my heart
Go to Madinah
My Mustafa is here
This is the dream of my heart

Color is color
Light is green
Be of our heart
The cause of beauty
Color is color
Light is green
Be of our heart
The cause of beauty

Have a heart, have a heart, have a heart, have a heart, have a heart.
Let the song of Naat-Pak be on your lips.

Millions of saliva on us
He will make a statement on us
The servant of all prophets
China of our hearts
Millions of saliva on us
He will make a statement on us
The servant of all prophets
China of our hearts

Have a heart, have a heart, have a heart, have a heart, have a heart.
May the song of Naat-Pak be on your lips","Naats present the glory of Muhammad ﷺ in a green and clear way and elevate his position and status to the heights. Islamic love and reverence have been expressed from the depths of the heart in the poetry, from which every drop has been filled with the love of Mustafa ﷺ. The naats revolve around the beautiful scenery of Madinah and contain the dream of visiting Mustafa (peace be upon him) which is the dream of every Muslim."
Or Nabi Salam Aleik,"Or Prophet, peace be upon him, or Messenger, peace be upon him
Or Habib, peace be upon him, peace be upon him

With the fragrance of your love, this earth and sky are populated
The rain of mercy has come, this is my prayer from my Lord

Your beauty is not inferior, your light is bright everywhere
In the good times, your journey towards Madinah

Millions of blessings upon us, millions of greetings upon you
The song of Naat Pak on the lips, there is hope in the heart

Your beauty is not inferior, your light is bright everywhere
In the good times, your journey towards Madinah

Or Prophet, peace be upon him, or Messenger, peace be upon him
Or Habib, peace be upon him, peace be upon him

Millions of blessings upon you, thousands of greetings upon you
Don't worry about us, sacrifice us for you

Your beauty is not inferior, your light is bright everywhere
In the good times, your journey towards Madinah

Or Prophet, peace be upon him, or Messenger, peace be upon him
Or Habib, peace be upon him, peace be upon him","Naats fill the sacred place of Muhammad with feelings of respect and love. Blessings and peace be upon the Prophet of Allah, may Allah bless him and grant him peace, have been expressed in poetry and the sentiments of love have been expressed verbally. This naat also includes a prayer for Allah's mercy, love and blessings. The poet has used beautiful words in praise of the beauty of Muhammad ﷺ and Hussain who lead the Muhammadan society in light and guidance. "
There is a trip to Madinah.,"There is a trip to Madinah and I am Namdidah Namdidah
There is a trip to Madinah and I am Namdidah Namdidah

I went to Madinah, I went to Madinah
Then grace was done, I went to Madinah

It is echoing in the roads
Light is shining everywhere

Hello, this is what he says on this path
The message of all times has gone

I have left my homeland
I went to Madinah, I went to Madinah

Then grace was done, I went to Madinah
It is echoing in the roads
Light is shining everywhere

The land has become Madinah began to shine
The sky has become Madinah

It is the month of arrival, all in the lands
Is in high welfare

The arrival of my prophet, these are the moon and stars
Hiding is hiding
The glory is in the nights of companionship

I went to Madinah, I went to Madinah
Then grace was done, I went to Madinah
It is echoing in the roads
Light is shining everywhere

The grace of my Lord, the grace of my Sultan
It has come in my taste of life

It is not that I have gone to Medina
It is that I should be in Medina

I went to Madinah, I went to Madinah
Then grace was done, I went to Madinah
It is echoing in the roads
Light is shining everywhere","There is a journey to give and I am Namdidah Namdidah"" ​​This paragraph is a short verse that describes the love of Mustafa (peace be upon him) and his passion for visiting Madinah Sharif. The poem uses images of song, beauty, light and prayer. has been done to show the readers a loving, peaceful and pure path."
The light has come.,"The light has come, the light has come
The time of Sarkar's festival is near

This is the smile of your face in the lights
Wherever I go, this path is in the lights

This sky is of mercy, happening day and night
A candle was shining in Rahmat's eyes

The light has come, the light has come
The time of Sarkar's festival is near

Ha Roshan Tabanda, from the beauty of Ahl al-Bayt
May you always be blessed by Hussain Zul-Jalal

The lamp is all time, you are everything
You are the only relief in your troubles

The light has come, the light has come
The time of Sarkar's festival is near

Shining where I am, by the coming of Muhammad
Everywhere is scattered, Gulzar has become

It is Gulzar of all times, of Muhammad's face
The wind of grace rains, the night of mercy

The light has come, the light has come
The time of Sarkar's festival is near","
""The light has come, the light has come, the time for the celebration of the government is near."" This speech is a religious verse in which the Khurram of understanding and the love of Allah have been talked about. Through Mushairi words, the word has spoken about the blessings and light that came in the nights of Prophethood, which makes a religiously interested person fall in love with the sacrifice of Allah and the love of Prophet Muhammad. The verses of the naat mention the glory and beauty of the Prophet Muhammad and encourage those waiting for the gathering to engage in his love."
#VALUE!,"Let me see how the soul and liver will feel
 If I put my life and liver, how will my head feel on the car?

Come to my house and give me the gift of destiny 
What will I look like, what will my house look like?

When there is so much feeling from a distance, Gunbad Khizri 
It is on the other side, so how will it look here?

One day he walked to ask Ghous Alwari
 How will the journey from Baghdad to Tayyaba be?

He is the angel of nature in the perfection of Mahshar
 What will Najdi's back look like?

Come and yearn if that lion comes
 How will he look like a lion in a fox?","
This poem is a manifestation of the interpretation and expression of love. The poet has expressed his devotion and love for his Lord through the language of dreams and emotions. He has turned to Allah from the depths of his heart and has expressed his feelings in a poetic manner. This poem talks about love, trust, and worship which take the reader to a spiritual paradise. "
#VALUE!,"When the minarets of the Prophet's Mosque were seen
 The signs of Allah's mercy were seen

How can words not be found without a scene?
 At the time Muhammad's court appeared

All I remember is the net attached to the chest
 Then I do not remember whether Anwar was seen

Sorrowful people do not remember grief
 When the sad eyes were seen in front

In the airs of coins in the winds of Taiba 
We looked everywhere and saw the government

He left his heart and soul in Medina
 Now I find it difficult to live here","
This poetic narrative, which describes the minarets of the Prophet's Mosque and the relics of Allah's mercy, describes the search and subsequent experience of a particular scenic landscape. The verses awaken the desire to feel the beauty of Muhammad's court and light in life through his expression. In poetic poems, it is expressed to remember this beautiful moment and dwell its beauties in the heart"
#VALUE!,"He used to share blessings wherever he went
 At the same time, Munshi went to Rahmat's pen

The news soon turned to strangers 
Mere Molly Murre Agha Tere has been sacrificed

Ah, that eye was a failed wish
 Oh, that heart that went to Arman from your door

The heart is that heart which is full of three memories 
The head is the head that was sacrificed at your feet

Take their shelter today, ask them for help today
 Then they will not believe in the resurrection if they believe

They all reached Madinah with their hearts, minds and minds
 You don't walk, Reza, the whole thing is gone","
This poem conveys the meaning beautifully. In this stanza, the poet is expressing his sense of servitude to his Lord, i.e. God. He has stated that he is following the best path of his love and servitude and his operations are always available to help him in any difficulty.

"
#VALUE!,"Call me then, O king of the sea, in Medina 
I will come crying again to your door in Medina

I will reach the day Janaan me griban
Chalk chest chalk
 Zlade, I wish I was in Madinah with passion

Those who go to Madinah, go, by the grace of God 
Sometimes you will also find your bed in Madinah

Madinah is therefore dear to Attar
 That my master (peace be upon him) lives in my beloved Medina


Call me then, O king of the ocean, in Madinah
 Then I will come crying to your door in Medina","
This poetry refers to the beauty, blessings and greatness of Madinah Sharif. The poet's heart is full of love and longing for Madinah, which he realizes by visiting Madinah again and again. It is his desire to reach Madinah to remove his loneliness and to sacrifice the voice of his heart to his beloved Prophet (peace be upon him). He longs to find his soul in the court of his beloved. He wants to walk on the path of Madinah for the love and sacrifice of his master (peace be upon him).

"
#VALUE!,"The ancients have understood that the times have passed
 This is the place where hearts are not broken

This is the grace of the Lord (peace be upon him).
 We are not like where we were called

The companions used to forget their sorrows
 They used to see those who came and went to Sarkar (peace be upon him).

The rank of Sarkar (peace be upon him) was known by the people 
Divine mysteries are not revealed to everyone

Only light can go in the limit of light
 Only if there were mortals, how would they go to the throne

Only Shah Noor can go to the limit of light
 How could mortals like us go to the throne?

Raised with the body while Isa
 Noor Kamil, why does not the darkness of the night leave the body?

See the sights of Madinah from the inner eye 
They are not seen with the eyes alone","
This poetry is specifically from the perspective of Islamic propaganda. The verses in it describe the spirit of Islamic spirituality, love of the Prophet (peace and blessings of Allah be upon him), and mystical understanding. It explores issues of meaning, love, and spirituality.

"
#VALUE!,"There is no one like you in Nain
 There is none other than thee, O light of embodiment, beloved of God

Everyone has qualities, but no one has perfect beauty
 From Adam to Mr. Jesus, there is no one like the government

This honor is yours, sir, you have reached the throne 
Everyone is a prophet, but the bridegroom of Miraj is no one

Show the heart to whom, who will treat the disobedience of us
 O merciful world, there is no one, no one

They call this Naz, free from Khairat Muhammad
 There is no one who is kind to the poor than Sarkar

Both of them are owners, every particle of the world is enlightened by them
 Tanveer is none other than Syed Kal Agha

It will happen if there is annihilation in one eye 
O Shafi Mahshar, there is no source of blessings except you","
This poetry especially highlights the glory of the Messenger of Islam. It describes the praise and greatness of his honorable personality. Addressing Muslims are invited to refer to their deeds and sayings. In this poetry, the power of faith and the depth of love have been expressed.

"
#VALUE!,"I am not silent and pleading 
I know the manners of Mahfil Haram

Someone with eyes will pass by this side 
On the way to Tayyaba, I stand waiting

There is probably no such traveler anywhere
Know your destination without looking

What is this light, where did the smell come from?
 Perhaps I have come to a fast

Distance and presence have one thing in common 
I used to see some dreams, I see some dreams

All the beggars of Taib know me
 I didn't know I was that big

Iqbal is still feeling me
 I am in front of the shrine and am reciting Naat","
In this poetry, poets express their inner mystical feelings. They do not consider themselves to be reticent, but to be trustworthy, who know the etiquette of Haram gatherings. In his poetry, there is a profound story of waiting for Tayyaba's ways, which enhances his poetry. In his poetry, the state and presence of the sacred place of Roza is felt"
#VALUE!,"Blessings flowed in the direction he went
 Blessings in the direction he went

 At the same time, the minister of mercy went to the pen
The news soon turned to strangers

My master, my master, has been sacrificed to you
 The heart is the heart that is dedicated to your memory


 The head is the head that was sacrificed at your feet
 Take their shelter today, ask them for help today 

Then they will not believe in the resurrection if they believe
They did not believe in going to them 

By Allah Muhammad, I became a Muslim from this world
Ah, that eye is not working for you

Oh, the heart that went to your door
Soul, heart, mind and wisdom all reached Madinah
You don't walk, Reza, the whole thing is gone","
This poem is a beautiful emotional statement that highlights the feelings of love, sacrifice and depth. The expression of poetry is very loving and profound. The poet has highlighted the immense love of his master, Allah Almighty, and Muhammad (peace be upon him) and expressed the deepest feelings of his heart in the form of words.

"
#VALUE!,"Give me a place in the feet, hide me in the foothills
 Look at me too, master of love

 The king is of two worlds! The mattress is at your door
 O King Zaman, put me on the fence too

 I'm blind, nothing turns me off
  Bring me out of the darkness

 Don't go down to the abyss
 O guide and scholar, save me from falling

 May the charity of Hasnain grant me sight
 Either come in a dream or call me at the door","
This poem is about the basics. Poets present their love and faith towards their God. They are praying for the mercy and protection of their Lord. There is a deep mystical feeling in this poetry which is expressed in the demand for nearness and love of God.

"
#VALUE!,"Nights are also Madina's words also Madina's
 To live is to live. What is the point of living?

They have passed through the streets of Tayyaba for a long time
 Even now the streets smell of sweat

This is a wound of Tayyaba, not everyone gets it
 No one should try to heal this wound

Worthy of praise when words fail 
How should one praise Madinah?

They make mastana with their eyes 
They make you mad, they make you mad
 They don't even bother to drink Mekhar

Every year Mirza is invited to Medina
 The government wakes up the destiny of the bastard","
These poetic poems highlight the importance of human spirituality and social connections. In them, the beauty and spirituality of Madinah Sharif is mentioned. By talking about the fragrance in the streets of Medina, the poet has highlighted the blessings of this place. In these poems, the mad love of the great Prophet of Islam, Hazrat Muhammad ﷺ, and his miracles are highly praised.

"
#VALUE!,"I beg for those who do not allow themselves to be begged
 These circumstances do not allow me to be humiliated

He covers all my faults
 Don't let my crimes be a joke

He keeps me in his wish list 
I am not allowed to be in need of anyone

When I talk about Malik Tayyaba
 They do not allow my tone to be sloppy

They will come to me by faith
 They don't let their sweethearts be alone","
Anka Mangta Haun Jo Mangta Gana Gana, this verse is a piece of poetry that expresses one's personal feelings. Here the poet expresses his feelings that he does not fulfill his desires, and remains restless waiting for others.

"
#VALUE!,"(Peer Syed Naseeruddin Naseer Al Gilani)


They are planted in the light of Madinah
 We have made the heart enlightened

A glimpse today of the dome of Khazri 
Some are also visiting from afar

Put your hand on your head, sir 
Leave the present and the viewer and the light and the human and the unseen

Thank goodness your flaws are hidden...
 They are suffering from grief and are persecuted by time

The name was called by which mouth, Taraleen or Tere
 The requirements of your relationship are forgotten

The relationship with education has decreased
 They are living with others

Shame does not come from rebellion 
What is less, they have come to your city

It is only because of this that we, the people
 Faith is saved in the age of disbelief

I wish they would make us crazy too
 A world that is driven mad

God bless Madinah 
Everyone is bathed in the rain

Why is not the bed filled with your deeds, Nasir?
Now the authorities have also come to Meezan","In front of the dignity of Tajli Madinah, you are honoring the narration and poetry of Pir Syed Naseeruddin Naseer Algilani. Religious feelings and love are expressed in his poems. In his speech, the blessings of Madinah Sharif and the greatness of the position of the Prophet of Islam, may Allah bless him and grant him peace, have been praised. His poems describe the love of Allah, the love of the Prophet, and the greatness of keeping the religion. His poems emphasize the importance of devotion, repentance, and practical life. In his poems, a world is justified to follow the path of religion and take care of the final reckoning. His poems have been accused of religious extremism and violation of self. The stanza of his poetry, 'Allah Allah Madinah Pe Yeh Jaloo Ki Phwaar', reflects his mystical social ideology where love, hope, and joy are showered."
#VALUE!,"Why is Muhammad Allah crying in the city of Islam?
 There is a cure for every pain in the city of Muhammad

Footsteps turned their dust into dust
 Clay is also alchemy in the city of Muhammad al-Salam

God is giving charity in his name
 Gold is coming out in the city of Muhammad

Everyone is bowing down in front of the Kaaba
 The Kaaba is leaning in the city of Muhammad

Oh, death has just come and hugged me
 I want to die in the city of Muhammad Allah Ma Salaam

Oh, the secret of God exists in India
 Dil Naat is reciting in the city of Muhammad, peace be upon him","
""Why is Muhammad crying in the city of Islam"" I explain the depth of the fact that in the city of Muhammad, everyone cries because of his love and reverence. In their city there is a cure for every pain, and in their city mud is also alchemy. Alchemy there means that everything is blessed in the city of Muhammad. God also takes charity in their name and gold also comes out in their city. The Kaaba is also bowed down in their city and death in their city is also a blessing for those who dream of coming to their city. It expresses his eagerness to recite Dil Naat.

"
#VALUE!,"Khosravi did not like Sarwari
 We fakirs liked the streets of Madinah

When they were away, life was colorless and meaningless 
When I went to their alley, life was good

I will not go anywhere except Dar Nabi 
I liked Koy Mustafa's job

Those who are under the influence of your feet have become mighty
 Pay to the Almighty God! It felt good

O Alimah, worship the Lord
 Fall is good, so your hut is good

Sultans laid their heads at the feet of the government 
I liked the simplicity of Sarwar Kon and Makan

Niazi Naat which I recited in the gathering today
 Ashikaan Mustafa liked her very much","
This poem describes the love and loyalty of Islamic taqlid and their friends. In the poems of Khawaja Gharib Nawaz, his love and the aesthetics of life have been described in an almost romantic tone. His poems express the greatness of Imam Hussain, Imam Ali, and their descendants.

"
