LABELS,NEWS,SNO
POSITIVE,شیر کا بچہ دھاڑنا کیسے سیکھتا ہے؟ دیکھیے ایک خوبصورت ویڈیو,4199
NEGATIVE,"بُل فائٹنگ : اسٹیڈیم ٹوٹنے سے 6 افراد ہلاک، 200 زخمی، ویڈیو دیکھیں",4200
NEGATIVE,سرکاری ٹی وی پر پیٹرول چرانے کا طریقہ بتایا جانے لگا,4201
NEGATIVE,سرکاری ٹی وی پر پیٹرول چوری کرنے کا طریقہ سکھایا جانے لگا,4202
NEUTRAL,پُراسرار مخلوق کے 17 انچ لمبے اور 1 فٹ چوڑے قدموں کے نشان دریافت,4203
NEUTRAL,کیا آپ 60 سیکنڈ میں چھپے ہوئے دریائی گھوڑے کو تلاش کرسکتے ہیں؟,4204
NEUTRAL,سمندر سے سوئی جیسے دانتوں والی عجیب مخلوق نکل آئی,4205
NEGATIVE,اے ٹی ایم پانچ گنا زیادہ پیسے دینے لگی,4206
NEGATIVE,خاتون فیس بک لائیو ویڈیو کے دوران زندہ چوہا کھا گئیں,4207
POSITIVE,دریا میں گرنے والا فون دس ماہ بعد درست حالت میں کیوں ملا؟ حیرت انگیز واقعہ,4208
NEGATIVE,چڑیا گھر میں بندر کے سگریٹ پینے کی ویڈیو پر ہنگامہ,4209
NEGATIVE,10 کروڑ ڈالر کی ڈیجیٹل چوری,4210
NEGATIVE,"انیسویں صدی کا تھیم پارک برائے فروخت، وجہ کیا بنی؟",4211
NEUTRAL,پالتو کتے کی سالگرہ کی ویڈیو وائرل کیوں ہوگئی؟,4212
NEGATIVE,"نوجوان چلتی ٹرین سے گر گیا، ویڈیو نے دل دہلا دیے",4213
POSITIVE,کئی ماہ قبل دریا میں گرا فون شہری کو واپس مل گیا,4214
NEGATIVE,"بچہ جھولے سے پراسرار طور پر غائب، ویڈیو وائرل",4215
NEGATIVE,"بلڈوزر نے 100 سے زائد بائیکیں کچل ڈالیں، ویڈیو وائرل",4216
NEGATIVE,امریکا: گلہری نے ہزاروں لوگوں کو بجلی سے محروم کر دیا,4217
POSITIVE,تانبے کے برتنوں کی وہ جادوئی خصوصیات جس سے لوگ واقف نہیں,4218
NEGATIVE,آئن لائن گیم کھیل کر بیٹے نے باپ کو کنگال کردیا,4219
POSITIVE,واشنگ مشین کو کئی فٹ تک اچھالنے کا ریکارڈ قائم,4220
NEGATIVE,نظر کا دھوکا یا سچ میں یہ بلیک ہول پھیل رہا ہے؟,4221
NEGATIVE,روس میں خاتون کو ان کی پالتو بلیاں کھا گئیں,4222
NEGATIVE,زلزلے کیوں آتے ہیں؟ تاریخ پر ایک نظر,4223
NEGATIVE,بچے کو ڈسنے والا سانپ خود ہی تڑپ تڑپ کر مر گیا,4224
NEGATIVE,معمولی تنازع پر دولہا بارات واپس لے گیا,4225
NEGATIVE,"""سمندر پر تیرتا منفرد ہوٹل نصف صدی بعد ڈوب گیا”",4226
NEGATIVE,"چھوئی موئی سا نازک لڑکا، چھونے سے جس کی ہڈیاں ٹوٹ جاتی ہیں",4227
NEGATIVE,"مقابلے کے بعد ""مجرم” کی لاش دیکھ کر پولیس حیران، تصاویر وائرل",4228
NEGATIVE,"علیحدہ کمرے میں سوئی  بچی خوفناک حادثے کا شکار، خوفناک منظر",4229
POSITIVE,باپ نے نوزائیدہ بچے کو سیلابی پانی سے کیسے بچایا؟ ویڈیو وائرل,4230
NEGATIVE,سو سال پرانے گھر کی دیواروں سے بھنبھناہٹ کی آوازیں آنے لگیں,4231
NEGATIVE,معمر شخص کی مگرمچھ کو ’فرائی پین‘ سے مارنے کی ویڈیو وائرل,4232
POSITIVE,ماہی گیر نے دنیا کی سب سے بڑی ’اسٹنگرے مچھلی‘ پکڑ لی,4233
NEGATIVE,"تیندوا گاڑی کے بونٹ میں پھنس گیا، ویڈیو وائرل",4234
POSITIVE,قوت سماعت سے محروم بچہ پہلی بار آواز سننے پر خوشی سے کھلکھلا اٹھا,4235
NEGATIVE,"بڑا حادثہ، ہانگ کانگ کا مشہور تیرتا ریسٹورنٹ سمندر میں ڈوب گیا (ویڈیو)",4236
NEGATIVE,کمرے سے سانپ برآمد ہونے پر گھر والوں کے ہوش اڑ گئے,4237
NEUTRAL,دنیا کا انوکھا ترین پراسرار مقام جہاں آج کے دن کچھ خاص ہونے والا ہے,4238
NEUTRAL,اس تصویر میں کیا گڑبڑ چھپی ہے؟,4239
NEUTRAL,یہ تصویر آپ کی شخصیت کا راز بتائے گی,4240
NEGATIVE,"ویڈیو: بھارت میں سیلابی صورتحال، میاں بیوی گڑھے میں جاگرے",4241
POSITIVE,"بادشاہ اپنی دلہن لینے ""بلڈوزر” پر پہنچ گیا، ویڈیو دیکھیں",4242
POSITIVE,"ایک شخص جس نے 20 سال بعد پانی پیا، وجہ حیران کن",4243
NEUTRAL,60 ہزار کے سکے دے کر لاکھوں کی کار خرید لی,4244
POSITIVE,"بندر کے بچے کی عقلمندی !! دیکھنے والوں کو خوشگوار حیرت، ویڈیو وائرل",4245
NEGATIVE,"""شامی بچی کا دیوہیکل پُتلا” انگلینڈ پہنچ گیا، دیکھنے والے افسردہ",4246
POSITIVE,"گڑھے میں گرنے والے چیتے کو بچا لیا گیا، ویڈیو وائرل",4247
NEUTRAL,اس تصویر میں کون سی مشہور شخصیت کا چہرہ چھپا ہے؟,4248
NEUTRAL,یہ تصویر زندگی میں آپ کی کامیابی یا ناکامی کی پیشگوئی کرسکتی ہے,4249
POSITIVE,گھر میں لال بیگ رکھنے پر لاکھوں روپے کمانے کا موقع,4250
NEUTRAL,کرسی آرڈر کرنے پر خاتون کیا بھیجا گیا؟ ویڈیو وائرل,4251
NEGATIVE,گھوڑے کی مالک کے تابوت پر سر رکھ کر رونے کی ویڈیو وائرل,4252
POSITIVE,"صرف چیخنے اور چلانے پر لاکھوں کمانے والی خاتون، ویڈیو دیکھیں",4253
NEGATIVE,شادی کی عجیب شرط نے دولہا کو مشکل میں ڈال دیا,4254
NEGATIVE,نوجوان کا سابقہ گرل فرینڈ سے ڈیٹنگ پر خرچ رقم واپسی کا مطالبہ,4255
NEGATIVE,"کتے کو جہاز سے نیچے پھینکنے والی ویڈیو نے ہلچل مچا دی، حقیقت کیا ہے؟",4256
NEUTRAL,زمین میں دھنسی ہوئی اس لڑکی کی کیا حقیقت ہے؟ ذہین لوگ جواب دیں,4257
NEUTRAL,انٹرنیٹ پر مقبول اس چہرے کی حقیقت کیا ہے؟,4258
NEGATIVE,"جھگڑے کے دوران خواتین نالے میں جاگریں، ویڈیو وائرل",4259
NEGATIVE,سونامی کو گھروں کی طرف بڑھتا دیکھ کر لوگ خوفزدہ؟ ویڈیو وائرل,4260
POSITIVE,’سمندر سے اچانک ’جل پری‘ نکل آئی؟ ویڈیو وائرل,4261
NEGATIVE,جیل میں مفت کھانا کھانے کیلیے بیروزگار شخص نے قتل کا جھوٹا اعتراف کرلیا,4262
NEUTRAL,دنیا میں زیتون کا پہلا درخت کب اگایا گیا تھا؟ حیرت انگیز انکشاف,4263
POSITIVE,رکشہ ڈرائیور کی بیٹی نے میٹرک میں ٹاپ کرلیا,4264
NEGATIVE,"شہری کو خوفناک مگر مچھ کی تصاویر کھینچنا مہنگا پڑ گیا، دل دہلا دینے والی ویڈیو",4265
POSITIVE,آلوؤں میں کوکین بھر کر لے جانے والے اسمگلرز گرفتار,4266
POSITIVE,"خدا کی قدرت، رنگ بدلنے والے خوبصورت پرندے کی ویڈیو وائرل",4267
NEGATIVE,ویڈیو: ریسٹورنٹ میں چھولے کی پلیٹ میں ’چھپکلی‘ نکل آئی,4268
POSITIVE,پانچ سالہ بچی نے اپنی کتاب شائع کرکے گنیز ورلڈ ریکارڈ بنادیا,4269
POSITIVE,ریچھ کی دلچسپ ویڈیو سوشل میڈیا پر وائرل,4270
NEUTRAL,یہ گوریلا ہے یا کچھ اور؟,4271
POSITIVE,"عجب چوری کی غضب کہانی، پولیس نے زیورات برآمد کرلیے",4272
NEUTRAL,"دو منہ اور تین آنکھوں والے بچھڑے کی پیدائش، ویڈیو وائرل",4273
NEGATIVE,سر میں جوئیں 9 سالہ بچی کی جان لے گئیں,4274
NEUTRAL,نوکری سے استعفیٰ دینے کا انوکھا طریقہ وائرل,4275
NEUTRAL,اپنی ذہانت آزمایئے!! تصویر میں کتنے جانور دکھائی دے رہے ہیں؟,4276
NEGATIVE,"گیسٹ ہاؤس میں لگے خفیہ کیمرے!! خاتون نے پردہ اٹھا دیا، ویڈیو وائرل",4277
NEGATIVE,’شوہر کو کیسے قتل کریں؟‘ مضمون لکھنے والی خاتون کو عمر قید کی سزا کیوں ملی؟,4278
POSITIVE,چھ گھنٹے میں 24 انڈے دیکر مرغی نے پولٹری صنعت میں انقلاب برپا کردیا,4279
NEGATIVE,"دولہا نے بھری محفل میں دلہن کو مکا دے مارا، ویڈیو وائرل",4280
POSITIVE,"چھت کا پنکھا بچے پر گرا، معمولی خراش بھی نہ آئی، ویڈیو دیکھیں",4281
NEGATIVE,"ڈاکٹر کو علاج کے بہانے بلا کر زبردستی شادی کروادی گئی، ویڈیو دیکھیں",4282
NEUTRAL,کیا مستقبل میں مُردوں سے بات کرنا ممکن ہوگا؟,4283
NEUTRAL,خلائی مخلوق کے بارے میں وہ نظریات جو آپ کو دنگ کردیں,4284
NEUTRAL,درخت کے اندر آگ کیوں جل رہی تھی؟ ویڈیو دیکھنے والے حیرت زدہ,4285
NEGATIVE,درختوں پر آسمانی بجلی کیسے اور کیوں گرتی ہے؟ ویڈیو دیکھیں,4286
POSITIVE,ناقابل یقین واقعہ : دس سالہ بچے کو 5 روز بعد کنویں سے کیسے نکالا گیا؟,4287
NEGATIVE,کتے کو گھر میں اکیلا چھوڑنے کا دل دہلا دینے والا انجام (ویڈیو دیکھیں),4288
NEUTRAL,خاتون نے پانچ سال تک آلو کو فریج میں کیوں رکھا؟ جانئے,4289
NEUTRAL,"شہری نے نوٹوں کی بارش کردی، ویڈیو وائرل",4290
POSITIVE,سعودی عرب میں 1419 سال قدیم خلفائے راشدینؓ کے دور کی اسلامی تحریر دریافت,4291
POSITIVE,"بہادر لڑکی نے ہراساں کرنے پر لڑکوں کی دھلائی کردی، ویڈیو وائرل",4292
NEGATIVE,ہاتھی نے خاتون کو مارنے کے بعد آخری رسومات میں بھی آگیا,4293
POSITIVE,بھارت میں ڈائنو سار کا نایاب ترین انڈہ دریافت,4294
NEGATIVE,وسیع و عریض جھیل خشک صحرا میں بدل گئی,4295
NEGATIVE,دوران سماعت جج کا موبائل فون چوری,4296
NEGATIVE,"انگریزی میں 35، ریاضی میں 36: بیوروکریٹ کی مارک شیٹ وائرل",4297
NEUTRAL,کوہ پیما کا کھویا جوتا 52 برس بعد مل گیا,4298
NEGATIVE,"سرکاری گائے کے شاہانہ ٹھاٹ، علاج کیلیے ڈاکٹروں کی ٹیم مقرر",4299
POSITIVE,"ٹریفک اہلکار نے بچے کو بس کے نیچے آنے سے بچالیا، ویڈیو وائرل",4300
POSITIVE,ایک انگلی سے کئی من وزن اٹھانے کا نیا عالمی ریکارڈ قائم,4301
NEGATIVE,"ڈزنی لینڈ میں روبوٹ عمارت سے جا ٹکرایا، خوفناک ویڈیو",4302
POSITIVE,ایک شیر نے 40 مگرمچھوں سے جان کیسے بچائی؟ ویڈیو وائرل,4303
NEGATIVE,"شیر نے آدمی کی انگلی چبا ڈالی، خوفناک ویڈیو نے تہلکہ مچا دیا",4304
NEGATIVE,راز جاننے کے بعد صدی قبل کی یہ تصویر دیکھ کر آپ کے بھی رونگٹے کھڑے ہو جائیں گے,4305
NEGATIVE,"وہیل مچھلی نے مچھیرے کو نگل لیا، پھر کیا ہوا؟",4306
NEGATIVE,گاڑی بے قابو ہو کر مکان کی چھت پر جا گری,4307
NEUTRAL,سب سے پہلے دکھائی دینے والا جانور آپ کی شخصیت کے بارے میں کیا بتاتا ہے؟,4308
NEUTRAL,طوطے نے ایسا کیا کہا کہ ویڈیو وائرل ہوگئی,4309
NEUTRAL,"دوران چیکنگ کار میں ""انوکھا مسافر” دیکھ کر پولیس چونک اٹھی",4310
POSITIVE,ٹیکسی ڈرائیور راتوں رات کروڑ پتی بن گیا,4311
POSITIVE,تین بچوں کی ماں نے میٹرک کا امتحان پاس کرلیا,4312
NEGATIVE,"دیوہیکل کتے کی جنرل اسٹور میں چہل قدمی، عملے کی دوڑیں لگ گئیں",4313
POSITIVE,بطخ نے شیر کو تگنی کا ناچ نچا دیا,4314
NEGATIVE,نوجوان نے سالانہ 9 کروڑ روپے تنخواہ والی نوکری چھوڑ دی,4315
NEGATIVE,جانی ڈیپ کو ہوٹل سے باہر نکال دیا گیا,4316
NEGATIVE,"آدھے سیکنڈ میں چور چلتی ٹرین سے موبائل لے اڑا، ویڈیو وائرل",4317
NEGATIVE,"کمسن بچے کی شیر کو چھونے کی کوشش، ویڈیو وائرل",4318
NEGATIVE,"سیڑھیوں سے ’اسکوٹی‘ پھینکنے پر لاکھوں روپے جرمانہ، ویڈیو وائرل",4319
POSITIVE,زخمی بندریا علاج کے لیے خود اسپتال پہنچ گئی,4320
NEUTRAL,"300 سال قبل ڈوب جانے والا جہاز، جس پر ٹنوں سونا چاندی لدا ہوا تھا",4321
NEGATIVE,کینڈی بنانے والے کارخانے میں 2 مزدور چاکلیٹ کے ٹینک میں گر گئے,4322
POSITIVE,سمندر میں ڈوبا فون ہفتے بعد بھی ٹھیک حالت میں مالک کو مل گیا,4323
NEGATIVE,"گوریلا سائیکل چلاتے ہوئے گر پڑا، ویڈیو وائرل",4324
NEUTRAL,ماہی گیر نے عجیب الخلقت سمندری مخلوق پکڑلی,4325
NEUTRAL,"""زمانہ قدیم میں مرغیوں کو محترم سمجھا جاتا تھا”",4326
POSITIVE,دونوں ہاتھ پیر کٹنے کے باوجود باہمت خاتون نے بڑی کامیابی حاصل کرلی,4327
POSITIVE,بلی کی خرگوش سے شرارت کرنے کی ویڈیو وائرل,4328
NEUTRAL,"ایک ہی لاش کی دو بار آخری رسومات ادا، وجہ حیران کن",4329
NEGATIVE,سماعت رکوانے کیلیے عدالت میں لال بیگ چھوڑ دیے گئے,4330
NEGATIVE,"ٹیچر کلاس روم میں سو گئی، پھر کیا ہوا؟ دلچسپ ویڈیو وائرل",4331
NEGATIVE,بچے کو قتل کرنے پر ’گائے‘ گرفتار,4332
NEGATIVE,"پُل ٹوٹنے سے میئر بیوی سمیت نالے میں جاگرے، ویڈیو دیکھیں",4333
NEGATIVE,"جھگڑے کے بعد کار سوار نے موٹر سائیکل سوار کو روند ڈالا، ویڈیو وائرل",4334
NEGATIVE,"ڈریگن کے خوفناک درخت : جنہیں کاٹنے پر خون بہنے لگتا ہے، ویڈیو دیکھیں",4335
NEGATIVE,ڈاکیا لوگوں کے ہزاروں خطوط اپنے گھر میں کیوں چھپاتا رہا؟,4336
POSITIVE,"کتے نے ننھی بچی کی نقل اتارلی، ویڈیو وائرل",4337
POSITIVE,"وفاداری کی اعلیٰ مثال، کتے نے خود گولی کھاکر مالک کی جان بچالی، ویڈیو وائرل",4338
NEGATIVE,"تیندوے کا گھر میں گھس کر کتے پر حملہ، لوگ خوفزدہ",4339
NEGATIVE,پیزا پہنچانے میں تاخیر پر شہری نے عجیب حرکت کردی,4340
NEGATIVE,"شادی میں کھانے کی جگہ مکی اور منی ماؤس مدعو، مہمان ناراض",4341
POSITIVE,"پرندہ جیمز بانڈ کی فلموں سے متاثر، دلچسپ ویڈیو وائرل",4342
POSITIVE,اجنبی شخص کے مشورے نے خاتون کو کروڑ پتی بنا دیا,4343
POSITIVE,خاتون کو مفت کے صوفے نے لکھ پتی بنادیا,4344
POSITIVE,پینگوئنز کی تتلی کا پیچھا کرنے کی ویڈیو وائرل,4345
NEUTRAL,اس تصویر میں آپ کو کتنے مینڈک نظر آرہے ہیں؟ دلچسپ پہیلی,4346
POSITIVE,اُڑتے ہوئے مور کی دلفریب ویڈیو : دیکھنے والے دیکھتے رہ گئے,4347
NEGATIVE,خطرناک قیدی خاتون کا حلیہ بنا کر جیل سے فرار,4348
NEGATIVE,زندہ مچھلی پانی سے اچھل کر نوجوان کے حلق میں پھنس گئی,4349
POSITIVE,شفاف پلاسٹک کی آب دوز میں زیر آب نظارہ 40 ڈالر پر,4350
NEGATIVE,"ہارس ریسنگ ٹریک پر اچانک مگرمچھ آگیا، ویڈیو وائرل",4351
NEUTRAL,30 سیکنڈز میں تصویر میں موجود تین الو تلاش کریں؟,4352
POSITIVE,"""ساتھ جیئں گے ساتھ مریں گے” 99سالہ دوجڑواں بھائیوں کی دلچسپ داستان",4353
POSITIVE,"ریچھ کے بچے کا والہانہ رقص، وائرل ویڈیو نے شائقین کے دل جیت لئے",4354
NEGATIVE,"ٹیکساس کے چڑیا گھر میں انسان نما بھیڑیا، ویڈیو وائرل",4355
POSITIVE,"خوفناک روڈ ایکسیڈنٹ، راہ گیروں نے بائیک سوار کی جان کیسے بچائی؟",4356
NEGATIVE,"اسکول کے اندر شیر کا مٹر گشت، ویڈیو وائرل",4357
NEUTRAL,"رکشہ خود بخود چل کر پارکنگ میں کیسے کھڑا ہوگیا، حیرت انگیز ویڈیو وائرل",4358
NEGATIVE,"پانی بھرنے کیلیے خاتون نے زندگی داؤ پر لگادی، ویڈیو وائرل",4359
POSITIVE,"شہری نے ڈاکوؤں کی دوڑیں لگوا دیں، دلچسپ ویڈیو وائرل",4360
NEGATIVE,"پارک میں جھولا جھولنے والے الٹا لٹک گئے، ویڈیو وائرل",4361
NEGATIVE,بھارت: رس گلوں کی وجہ سے درجنوں ٹرینیں 40 گھنٹے تاخیر کا شکار,4362
POSITIVE,بچے ’ٹرین‘ کی زد میں آنے سے بال بال بچ گئے,4363
NEGATIVE,"کروڑوں روپے  کی ’فراری‘ معمولی حادثے میں تباہ، ویڈیو وائرل",4364
NEGATIVE,اوورلوڈنگ کا نتیجہ : ٹریفک حادثے کی خوفناک ویڈیو وائرل,4365
NEGATIVE,"چلتی موٹرسائیکل میں اچانک آتشزدگی، واقعے نے دل دہلا دیا",4366
NEGATIVE,"’چالان‘ سے بچنے کیلیے نوجوان نے پولیس کو چکما دے دیا، ویڈیو وائرل",4367
POSITIVE,"والد نے کمسن بچے کو ڈوبنے سے بچا لیا، ویڈیو وائرل",4368
POSITIVE,دنیا کا سب سے بڑا پودہ دریافت,4369
NEUTRAL,جب اسکول کے درجنوں بچوں نے اڑن طشتری اترتے ہوئے دیکھی,4370
NEUTRAL,فون کے کی بورڈ میں موجود اسپیس اور کس کام آسکتا ہے؟,4371
POSITIVE,"مالک پالتو جانور کو بچانے کے لئے کینگرو سے لڑ گیا، ویڈیو دیکھیں",4372
NEUTRAL,اسپائیڈر گرل کے نام سے مشہور اضافی بازوؤں اور ٹانگوں والی بچی کی ویڈیو وائرل,4373
NEGATIVE,"9 سالہ لڑکی پر تیندوے کا دل دہلا دینے والا حملہ، کمزور دل حضرات تصاویر نہ دیکھیں",4374
NEGATIVE,"سوتے شخص پر سانپ لپٹ گئے، ویڈیو وائرل",4375
NEGATIVE,نایاب بیماری نومولود بچی کی پہچان بن گئی,4376
NEGATIVE,طیارے کے ’پَر‘ کے اوپر چلتے شخص کی ویڈیو نے دل دہلا دیے,4377
NEUTRAL,دلچسپ پہیلی : تصویر دیکھ کر اپنی شخصیت کے بارے میں جانیے!,4378
NEUTRAL,خلائی زندگی کی کیا حقیقت ہے؟ ہوشربا انکشافات,4379
NEUTRAL,گھاس کا رنگ سبز کیوں ہوتا ہے؟,4380
POSITIVE,"""چڑیل” کو ساڑھے تین صدیوں بعد انصاف مل گیا، لیکن کیسے ؟",4381
NEGATIVE,"دلہا دلہن نے ’ہار‘ کی جگہ ’سانپ‘ پہنا دیا، ویڈیو وائرل",4382
NEGATIVE,کھانے میں ’نوڈلز‘ دینے پر شوہر نے بیوی کو طلاق دے دی,4383
NEUTRAL,نوجوان ’اسپائیڈر مین‘ بن گیا؟ ویڈیو دیکھ کر لوگ حیران,4384
NEGATIVE,ہتھنی کی وائرل ویڈیو نے سب کو رُلا دیا,4385
POSITIVE,"103 سالہ خاتون نے جہاز سے چھلانگ لگا کر حیران کردیا، ویڈیو وائرل",4386
NEGATIVE,صرف 2 خربوزے 47 لاکھ روپے میں فروخت,4387
NEGATIVE,"دلہا کی معمولی بھول، دلہن نے غصے میں شادی سے انکار کردیا",4388
POSITIVE,ڈھائی سو سال پرانا آسیب زدہ گھر لاکھوں ڈالر میں فروخت,4389
NEUTRAL,پراسرار مقام برمودا ٹرائی اینگل کا سفر کرنے والوں کیلئے پیشکش,4390
NEGATIVE,سستے ڈینٹسٹ کی تلاش لڑکی کو مہنگی پڑگئی,4391
NEUTRAL,سنہ 2025 تک ڈائنو سار واپس آجائیں گے؟,4392
NEUTRAL,"چاند سے ایسی امید نہ تھی، سائنس دانوں کا ناقابل یقین انکشاف",4393
POSITIVE,سعودی عرب میں کبوتروں کا مُقابلۂ حسن,4394
NEGATIVE,شہری سوا کروڑ کی کار دریا میں پھینک کر چلا گیا,4395
NEUTRAL,تصویر میں موجود ’ہاتھی‘ تلاش کرنے کا چیلنج,4396
POSITIVE,"ماں نے کمسن بیٹی کو ’ریچھ‘ کے حملے سے بچالیا، ویڈیو وائرل",4397
POSITIVE,دودھ خریدنے کیلئے دکان پر جانے والا شخص اچانک کروڑ پتی بن گیا,4398
POSITIVE,"ننھے میاں کی سمندر کی تند و تیز لہروں پر سرفنگ، ویڈیو نے دل موہ لئے",4399
POSITIVE,اونٹ خریداری کرنے سنار کی دکان جا پہنچا,4400
NEUTRAL,دنیا کے سب سے پست قد نوجوان کا تعلق کس ملک سے ہے؟,4401
NEUTRAL,"تنگ پارکنگ سے گاڑی نکالنے کا آسان طریقہ، ویڈیو وائرل",4402
NEUTRAL,"برمودا ٹرائی اینگل کا سفر، کمپنی نے مسافروں کو بڑی پیش کش کر دی",4403
NEGATIVE,کولڈ ڈرنک کے گلاس میں ’چھپکلی‘ نکلنے پر ریسٹورینٹ سیل,4404
NEGATIVE,دعائیں قبول نہ ہونے پر شہری نے مندر کے بت توڑدیے,4405
POSITIVE,ماں نے بیٹے کو بچانے کے لیے ’مین ہول‘ میں چھلانگ لگادی,4406
POSITIVE,قاتل بھیڑ کو تین سال قید : عدالت کا انوکھا فیصلہ,4407
NEUTRAL,"پرندے نے خاتون کا  پیزا ‘چوری’ کرلیا، دلچسپ ویڈیو وائرل",4408
NEGATIVE,ٹیکساس میں اسکول کے19 بچوں کو کیوں قتل کیا گیا؟ چونکا دینے والے انکشافات,4409
NEGATIVE,بیوی نے بیٹے کے سامنے شوہر کی پٹائی کردی,4410
NEGATIVE,کتے جیسا نظر آنے کیلیے شخص نے لاکھوں روپے خرچ کر ڈالے,4411
NEUTRAL,ہماری باڈی لینگویج ہمارے بارے میں کیا کہتی ہے؟,4412
NEGATIVE,"تصویر کیوں کھینچی؟ ہاتھی نے لڑکی کو سونڈ مار دی، ویڈیو وائرل",4413
NEUTRAL,اس تصویر میں ایک شخص کا چہرہ کہاں چھُپا ہے؟,4414
NEGATIVE,خاتون کو ”قتل“ کرنے پر بھیڑ کو سزا سنا دی گئی,4415
NEGATIVE,"کرسی کے لیے ٹیچرز لڑ پڑیں، ویڈیو وائرل",4416
NEUTRAL,کیا آپ اس تصویر میں چھپا ’سانپ‘ تلاش کرسکتے ہیں؟,4417
NEUTRAL,ماں نے دوران پرواز پیدا ہونے والی بچی کا نام کیا رکھا؟,4418
NEGATIVE,لاکھوں روپے کی ہونے کے باوجود بارش سے نہ پچانے والی چھتری,4419
POSITIVE,"معمر خاتون ’باڈی بلڈر‘ بن گئی، دلچسپ ویڈیو وائرل",4420
NEGATIVE,"شیر کو تنگ کرنا رکھوالے کو مہنگا پڑ گیا، ویڈیو وائرل",4421
POSITIVE,"بھارت: کھدائی کے دوران مغل دور  کے ""حمام” کی دریافت",4422
NEGATIVE,2 سالہ بیٹے کو موبائل فون دینا خاتون کو نہایت مہنگا پڑ گیا,4423
NEGATIVE,"آبشار کی بلندی سے نوجوان نیچے چٹان پر گر پڑا، رونگٹے کھڑے کردینے والی ویڈیو وائرل",4424
NEUTRAL,اس تصویر میں چھپی تصاویر دیکھیے !! جانیے اپنی شخصیت کے راز,4425
POSITIVE,شادی کی تقریب چھوڑ کر دولہا نے کتے کی جان کیسے بچائی ؟ ویڈیو وائرل,4426
POSITIVE,"سونے کی عجیب و غریب چوری، بھارتی خاتون پکڑی گئی، ویڈیو وائرل",4427
NEGATIVE,سیل فون پتھر سے توڑنے کی کوشش کا ڈرا دینے والا انجام (ویڈیو),4428
POSITIVE,معمر شخص نے 36 گھنٹے جھولا جھول کر عالمی ریکارڈ بنا ڈالا,4429
NEGATIVE,شادی میں دیا گیا تحفہ دھماکے سے پھٹ گیا,4430
POSITIVE,خاتون کو والد کی آخری رسومات کے دوران شادی کی پیشکش,4431
NEGATIVE,ویڈیو: خاتون نے ساس اور بھابھی کی پٹائی کردی,4432
NEGATIVE,غلطی سے حاصل کروڑوں کی حکومتی امداد نوجوان نے جوئے میں ہار دی,4433
NEGATIVE,گھر کے سوئمنگ پول میں خوفناک مگرمچھ کیسے آگیا؟,4434
NEGATIVE,میلسی لنک کینال میں تیرتی لاش کی ویڈیو وائرل,4435
NEUTRAL,ماں نے کمسن بچے کے جسم پر ’ٹیٹوز‘ بنوا دیے,4436
NEGATIVE,طالبات کی سڑک پر لڑنے کی ویڈیو وائرل,4437
POSITIVE,"جوڑے نے گرمی سے بچاؤ کا انوکھا حل نکال لیا، ویڈیو وائرل",4438
POSITIVE,’مردہ‘ قرار دی گئی نومولود بچی آخری رسومات کے دوران زندہ ہوگئی,4439
POSITIVE,آئرن مین جیسے کردار کیسے تخلیق کیے جاتے ہیں؟ پاکستانی نوجوان کا کارنامہ,4440
NEGATIVE,ہاتھی انسان سے لڑ پڑا۔۔۔ مگر کیوں؟ وائرل ویڈیو,4441
NEGATIVE,دلہے کی پارٹی سے تنگ دلہن نے دوسرے شخص سے شادی کرلی,4442
NEGATIVE,ویڈیو: کھانے میں تاخیر پر شادی ہال میدان جنگ بن گیا,4443
NEGATIVE,"پُراسرار دھاتی گیندیں آسمان سے آگریں، لوگ خوفزدہ",4444
POSITIVE,مگرمچھ نے بازو جکڑ لیا شہری نے جان کیسے بچائی؟,4445
NEUTRAL,’کاش سردیوں میں شادی ہوتی ابھی بہت گرمی لگ رہی ہے‘,4446
NEUTRAL,اس تصویر میں کتنے جانور موجود ہیں؟,4447
POSITIVE,فلائی اوور بلاک کر کے دوست کی سالگرہ منانے والے منچلے گرفتار,4448
POSITIVE,چلتی گاڑی کے بونٹ پر بیٹھی دلہن کا پروپوزل وائرل,4449
NEGATIVE,دیوار سے خوفناک خط کے ساتھ پراسرار گڑیا برآمد,4450
POSITIVE,کھدائی کے دوران قدیم تاریخی مقام دریافت,4451
POSITIVE,ملازمین کو نقد تنخواہ کے بجائے سونے کی اینٹیں,4452
NEUTRAL,سرخ گیند کون سی ہے؟ چکرا دینے والی ویڈیو,4453
NEUTRAL,ٹیلی پیتھی ماسٹر شہیر خان : پہلا پاکستانی نوجوان جس نے سب کو حیران کردیا,4454
NEGATIVE,ویڈیو: منفرد بننے کے شوق میں خاتون نے زبان دو شاخہ کروا لی,4455
NEUTRAL,برطانوی خفیہ ایجنسی نئے جاسوس کیسے بھرتی کرتی ہے؟ جانیے!!,4456
POSITIVE,حرم شریف سے ننھی بچی کی ویڈیو وائرل ہوگئی,4457
NEGATIVE,"دلہے کو گھوڑے پر بارات لانا مہنگا پڑ گیا، ویڈیو وائرل",4458
NEGATIVE,دلہن کی اسٹیج پر ہوائی فائرنگ کی ویڈیو وائرل,4459
POSITIVE,دو پہاڑوں کے درمیان واقع دنیا کا طویل ترین پل,4460
